38,60,1,258
38,118,1,259
38,151,0.66667,260
38,155,1,261
38,169,1,262
39,92,0.75,263
39,126,1,264
39,127,1,265
39,186,1,266
40,53,1,267
40,114,1,268
40,146,1,269
40,178,1,270
40,192,1,271
41,42,1,272
41,60,1,273
41,115,0.75,274
41,141,1,275
41,155,1,276
41,179,0.75,277
41,180,1,278
42,75,1,279
42,77,0.75,280
42,113,0.75,281
42,155,1,282
42,179,0.75,283
42,184,0.75,284
43,177,0.75,285
43,195,1,286
44,138,0.75,287
44,139,1,288
44,168,1,289
44,181,1,290
44,196,1,291
45,46,0.58333,292
45,47,0.375,293
45,50,0.625,294
45,69,0.625,295
45,71,0.375,296
45,72,0.29167,297
45,94,0.625,298
45,120,0.5,299
45,134,0.625,300
45,147,0.375,301
45,148,0.625,302
45,156,0.625,303
45,174,0.58333,304
46,50,0.66667,305
46,73,0.83333,306
46,105,0.83333,307
46,106,0.41667,308
46,142,0.66667,309
46,147,0.41667,310
46,156,0.66667,311
46,170,0.66667,312
46,177,0.66667,313
47,135,0.75,314
47,149,0.75,315
47,156,0.75,316
47,170,0.75,317
47,177,0.5,318
47,187,0.5,319
48,82,0.625,320
48,96,1,321
48,98,0.75,322
48,135,1,323
48,151,0.66667,324
49,99,1,325
49,117,1,326
49,198,1,327
50,73,1,328
50,86,0.75,329
50,94,0.75,330
50,128,0.75,331
51,65,1,332
51,173,1,333
51,193,1,334
52,57,0.75,335
52,73,0.41667,336
52,93,0.75,337
52,100,0.75,338
52,105,0.5,339
52,132,0.75,340
52,143,0.75,341
52,171,0.75,342
53,59,1,343
53,70,1,344
53,91,1,345
53,114,1,346
53,161,1,347
53,178,1,348
54,87,0.75,349
54,124,0.75,350
54,146,0.75,351
54,167,1,352
54,168,0.75,353
54,181,0.75,354
54,187,0.5,355
54,200,0.75,356
55,62,0.75,357
55,116,1,358
55,125,0.75,359
55,132,0.75,360
55,182,1,361
56,85,1,362
56,111,1,363
56,122,1,364
56,137,1,365
57,73,0.66667,366
57,82,0.625,367
57,93,1,368
57,128,1,369
57,175,1,370
58,97,1,371
58,119,1,372
58,145,1,373
58,171,1,374
58,189,0.75,375
59,106,0.75,376
59,139,1,377
59,148,1,378
59,158,1,379
59,165,0.75,380
60,141,1,381
60,155,1,382
60,169,1,383
61,66,1,384
61,79,1,385
61,102,1,386
61,108,1,387
61,140,1,388
61,150,1,389
62,89,0.75,390
62,116,0.75,391
62,154,0.75,392
62,159,0.75,393
62,164,0.5,394
62,187,0.5,395
63,104,1,396
63,141,1,397
63,154,1,398
63,173,1,399
63,199,0.66667,400
64,103,1,401
64,113,0.75,402
64,119,1,403
64,197,1,404
65,89,1,405
65,159,1,406
65,193,1,407
66,79,1,408
66,91,1,409
66,101,1,410
66,150,1,411
67,110,1,412
67,152,1,413
67,157,1,414
67,165,0.75,415
67,194,1,416
68,115,0.75,417
68,117,1,418
68,130,1,419
68,180,1,420
69,81,1,421
